/home/thaianh/OLP2025/OLP_2025/SUMO_RL/baseline.py:90: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()
/home/thaianh/OLP2025/OLP_2025/SUMO_RL/baseline.py:98: UserWarning: FigureCanvasAgg is non-interactive, and thus cannot be shown
  plt.show()

=== Bắt đầu chạy Baseline (Đèn cố định) ===
 Retrying in 1 seconds
Step 0, Reward: -0.00, Cum. Reward: 0.00
Step 100, Reward: -0.00, Cum. Reward: 0.00
Step 200, Reward: -0.00, Cum. Reward: -18.00
Step 300, Reward: -0.00, Cum. Reward: -44.00
Step 400, Reward: -0.00, Cum. Reward: -102.00
Step 500, Reward: -0.00, Cum. Reward: -146.00
Step 600, Reward: -0.00, Cum. Reward: -164.00
Step 700, Reward: -1.00, Cum. Reward: -175.00
Step 800, Reward: -1.00, Cum. Reward: -245.00
Step 900, Reward: -2.00, Cum. Reward: -360.00
Step 1000, Reward: -3.00, Cum. Reward: -659.00
Step 1100, Reward: -3.00, Cum. Reward: -959.00
Step 1200, Reward: -3.00, Cum. Reward: -1259.00
Step 1300, Reward: -4.00, Cum. Reward: -1654.00
Step 1400, Reward: -4.00, Cum. Reward: -2054.00
Step 1500, Reward: -4.00, Cum. Reward: -2454.00
Step 1600, Reward: -4.00, Cum. Reward: -2854.00
Step 1700, Reward: -4.00, Cum. Reward: -3254.00
Step 1800, Reward: -3.00, Cum. Reward: -3610.00
Step 1900, Reward: -1.00, Cum. Reward: -3748.00
Step 2000, Reward: -2.00, Cum. Reward: -3928.00
Step 2100, Reward: -2.00, Cum. Reward: -4128.00
Step 2200, Reward: -2.00, Cum. Reward: -4328.00
Step 2300, Reward: -2.00, Cum. Reward: -4528.00
Step 2400, Reward: -2.00, Cum. Reward: -4728.00
Step 2500, Reward: -2.00, Cum. Reward: -4928.00
Step 2600, Reward: -2.00, Cum. Reward: -5128.00
Step 2700, Reward: -2.00, Cum. Reward: -5328.00
Step 2800, Reward: -2.00, Cum. Reward: -5528.00
Step 2900, Reward: -2.00, Cum. Reward: -5728.00
